TitleLower,Genre
forrestgump,romance
titanic1997,romance
tomorrowneverdies,action
abouttime,romance
her,romance
goodwillhunting,romance
tenthingsihateaboutyou,romance
10thingsihateaboutyou,romance
thenotebook,romance
theprincessbride,romance
perlharbor,romance
twilight,romance
prettywoman,romance
callmebyyourname,romance
blended,romance
clueless,romance
loveactually,romance
justgowithit,romance
mebeforeyou,romance
brokebackmountain,romance
500daysofsummer,romance
fivehundreddaysofsummer,romance
theparenttrap1998,romance
legallyblonde,romance
dirtydancing,romance
ghost1990,romance
50firstdates,romance
fiftyfirstdates,romance
mybigfatgreekwedding,romance
astarisborn,romance
thematrix,action
thehungergames,action
theavengers1998,action
theavengers2012,action
batmanbegins,action
inception,action
thedarkknight,action
madmax,action
planetoftheapes1968,action
planetoftheapes2001,action
jurassicparkiii,action
piratesofthecaribbeanatworldsend,action
piratesofthecaribbeandeadmentellnotales,action
piratesofthecaribbeanthecurseoftheblackpearl,action
